阶段,功能模块,业务场景,关键功能,具体功能,功能描述
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,关键操作合规审批,保留与处置策略审批,删除审批与操作留痕,对单条及批量删除操作配置审批流程，并完整记录删除原因、审批意见、操作时间和责任人。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,关键操作合规审批,保留与处置策略审批,保留策略变更审批流,对保留策略调整、销毁规则变更配置审批流程。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,标准化数据组装为归档对象,标准归档转换与校验,标准数据归档对象转换,将已完成字段映射和标准化的数据形成统一归档记录，并建立记录、附件、版本及元数据之间的关联。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,源系统数据结构自动映射归档,标准归档转换与校验,归档规则自动应用,根据预定义归档规则自动将源数据转换为RIMS标准结构并完成归档入库。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,源系统数据结构自动映射归档,标准归档转换与校验,归档结果校验,对自动归档后的数据进行完整性、一致性和准确性校验。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,归档记录定期删除与合规保留,到期处置与Legal Hold管理,保留期限到期自动删除,根据预设保留策略，对到期归档记录执行自动删除或标记销毁。
Phase2：能力优化与冷数据承接,模块 3：记录归档与档案全生命周期管理,归档记录定期删除与合规保留,到期处置与Legal Hold管理,Legal Hold 冻结,对涉诉、审计或合规调查中的记录设置Legal Hold，暂停删除和修改。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,在运系统低频冷数据迁移,分层存储与策略优化,冷热数据分层存储,支持根据数据访问频率、使用需求和保留要求实施分层存储，以兼顾查询效率和存储成本。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,保障系统稳定运行与查询性能,分层存储与策略优化,存储策略优化,支持根据数据访问特征、容量变化和业务规则配置及调整存储策略。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,敏感历史数据字段级脱敏,字段级数据脱敏管理,字段级脱敏规则配置,支持根据数据类型和敏感等级配置不同的字段保护规则和显示方式。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,敏感历史数据字段级脱敏,字段级数据脱敏管理,手动选择脱敏字段,允许管理员对特定历史数据表/文档手动选择需要脱敏的字段。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,敏感历史数据字段级脱敏,字段级数据脱敏管理,脱敏策略应用,支持将脱敏策略应用到特定记录、字段或用户角色，按需生效。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,敏感历史数据字段级脱敏,字段级数据脱敏管理,脱敏预览,在应用脱敏策略前预览脱敏效果，确保符合业务需求。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,确保归档数据可恢复,数据备份与灾难恢复,数据备份管理,支持按照备份策略创建和维护归档数据副本，确保数据副本完整、可用并满足恢复需求。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,确保归档数据可恢复,数据备份与灾难恢复,异地灾备,支持将数据副本与主要运行环境隔离保存，保障区域性灾害或重大故障情况下的数据恢复。
Phase2：能力优化与冷数据承接,模块 4：数据存储与境内数据安全管控,确保归档数据可恢复,数据备份与灾难恢复,恢复演练,定期开展数据恢复演练，验证备份数据的可用性和系统恢复能力。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,不同岗位个性化查询页面,个性化页面与视图管理,自定义页面布局,支持用户配置页面组件的位置、大小和排列方式。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,不同岗位个性化查询页面,个性化页面与视图管理,自定义展示字段,允许用户选择列表和详情页需要展示的字段，隐藏不关注的字段。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,不同岗位个性化查询页面,个性化页面与视图管理,可配置化页面能力,自定义检索条件的保存与复用
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,不同岗位个性化查询页面,个性化页面与视图管理,用户个人视图保存,支持用户保存个人页面配置，下次登录自动加载。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,不同岗位个性化查询页面,个性化页面与视图管理,页面模板管理,提供页面模板库，支持按角色、业务场景分发不同页面模板。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,业务人员精细化、个性化查询,高级检索与筛选,多维度组合检索,支持多个字段和检索条件的灵活组合，满足复杂查询场景。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,业务人员精细化、个性化查询,高级检索与筛选,精准筛选,支持精确匹配、范围、枚举值和排除条件等多类型筛选。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,业务人员精细化、个性化查询,高级检索与筛选,模糊全文检索,支持全文模糊匹配、同义词扩展、拼音检索等能力。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,业务人员精细化、个性化查询,检索结果导出,加密字段导出控制,支持根据用户权限控制加密字段导出方式，可配置为导出明文、脱敏导出或禁止导出，并记录完整导出审计日志
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,业务人员精细化、个性化查询,检索结果导出,检索文档结果导出,支持检索结果导出为Excel/CSV/PDF，可配置导出字段和格式。
Phase2：能力优化与冷数据承接,模块 5：档案检索、智能发现与业务利用,保障系统稳定运行与查询性能,查询性能管理,查询性能优化,保障大规模归档数据场景下的查询响应效率，并支持识别和优化异常慢查询。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,敏感历史数据字段级脱敏,合规操作审计与复核,脱敏日志记录,记录脱敏策略配置、应用、变更操作，支持审计追溯。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,按角色控制数据访问范围,合规操作审计与复核,权限审计与复核,定期审计用户权限，发现过度授权或长期未使用权限并提醒清理。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,关键操作合规审批,合规电子签名,电子签名,支持关键审批节点的合规电子签名，并满足适用法规要求。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,合规检查与整改,合规整改闭环管理,问题记录,记录合规检查中发现的问题，包含问题描述、证据、责任人。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,合规检查与整改,合规整改闭环管理,整改任务分配,将整改任务分配给责任人，设置截止时间和验收标准。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,合规检查与整改,合规整改闭环管理,整改进度跟踪,跟踪整改任务执行进度，支持上传整改证据和状态更新。
Phase2：能力优化与冷数据承接,模块 6：合规管控、审计追踪与合规报表,合规检查与整改,合规整改闭环管理,整改验证关闭,对整改结果进行复核验证，通过后关闭问题并归档记录。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,多类型标准化接口对接,多源数据连接管理,标准数据库连接能力,提供可复用的数据库连接、认证和数据访问能力，支持历史迁移及持续数据接入。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,多类型标准化接口对接,多源数据连接管理,标准文件连接能力,提供与文件服务器、对象存储及其他文件来源连接和传输的通用能力，支持批量迁移及增量接入。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,第三方集成工具兼容,多源数据连接管理,第三方数据集成工具适配,支持与雅培现有或后续选定的数据集成工具进行任务和数据衔接。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,建立统一集成标准，规范上游源系统唯一标识与跨系统数据交互格式,集成标准与接口管理,固定源系统编码规则,建立统一的源系统编码规则，为每个来源系统分配唯一编码，贯穿数据接入、存储和检索。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,建立统一集成标准，规范上游源系统唯一标识与跨系统数据交互格式,集成标准与接口管理,统一数据交互格式规范,建立统一的数据交换结构、字段规则和校验要求，降低不同系统之间的数据对接成本。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,多类型标准化接口对接,集成标准与接口管理,标准系统接口能力,提供统一、可复用且受控的系统接口，支持数据查询、接收和推送。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,降低多系统对接改造成本,连接器模板管理,连接器模板库与复用,建立连接器模板库，支持同类系统的连接器复用，减少重复开发。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,连接器统一运维,连接器运行监控与审计,连接器状态监控,监控连接器运行状态、数据传输情况和异常信息，支持告警和问题定位。
Phase2：能力优化与冷数据承接,模块 7：多源系统集成与标准化连接器,连接器统一运维,连接器运行监控与审计,连接器日志与审计,记录连接器执行日志、数据同步量和错误信息，支持审计和问题排查。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,保障系统稳定运行与查询性能,系统运行监控与稳定性保障,系统监控告警,统一展示系统健康、存储容量、迁移任务、查询性能和连接器状态，并对异常情况进行集中告警。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,保障系统稳定运行与查询性能,系统运行监控与稳定性保障,系统稳定性保障,保障高负载或局部故障情况下系统持续可用，避免单点异常影响核心归档与查询服务。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,按角色控制数据访问范围,细粒度数据访问控制,记录级权限控制,支持对特定记录或记录集合设置访问权限，限定可见人员。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,按角色控制数据访问范围,细粒度数据访问控制,字段级权限控制,支持对敏感字段设置访问权限，未授权用户查看时脱敏或隐藏。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,按角色控制数据访问范围,权限申请与变更审批,权限申请与审批,支持用户申请数据访问权限，通过审批流后临时或长期授权。
Phase2：能力优化与冷数据承接,模块 8：系统全局治理、运维与监控,关键操作合规审批,权限申请与变更审批,权限变更审批流,对用户权限变更、角色调整配置审批流程。
